(4d3d,544f) , (4d3d,544f) , #2797#32dc#4df8#16b7#4df8#4df5#45f7#32dc#32dc#1079#3896#
(4a83,7de7) , (6a1,3dd9) , #3a8c#5f10#77bf#99c#225e#2b0c#4f27#4f27#98#313b#
(97,5ed) , (6ed,877) , #2b8#5ca#d4#64#24c#d9#30e#30e#19a#
(145,c59) , (fb5,2645) , #544#43b#57e#84c#401#4e1#40b#39c#84c#29#
(1843,5887) , (17b3,5b99) , #146f#138b#e3e#617#850#5513#250d#617#5034#5034#45be#
(9013,9d37) , (6ed,877) , #61cf#5e9b#7550#32ee#744d#7ad4#2d37#2d37#656f#
(122b,4319) , (17b3,5b99) , #f05#5d7#18d1#7d5#40ec#c9d#657#7d5#2f99#2f99#27bc#
(4715,5849) , (fb5,2645) , #3fef#379c#3dc4#2479#29f6#1b3#47a1#2053#2479#4504#
(10a5,495b) , (15e9,2d47) , #457f#5f2#47b2#37ed#3416#25f0#355d#215c#1ebd#37#ed2#
(4571,8b25) , (17b3,5b99) , #5b55#371b#1538#5e37#1a88#2210#4169#5e37#15c1#15c1#2e28#
(43fd,c77b) , (fb5,2645) , #4ffd#7c5#757e#8105#93c5#120#7c8d#5614#8105#9c64#
(211,87b) , (6ed,877) , #486#ab#475#544#567#60f#377#377#f9#
(2f,8f) , (17b3,5b99) , #4f#4#16#36#5a#63#e#36#8#8#48#
(4cf,68f) , (15e9,2d47) , #9d#583#17a#531#534#17b#2e6#550#40f#126#28d#
(4a17,5bed) , (17b3,5b99) , #4484#21de#1ce9#893#3e17#5561#1943#893#29a9#29a9#4a53#
(5837,940d) , (6ed,877) , #4bb1#4843#4cc9#f81#1c94#35ea#6037#6037#2ab#
(1013,34d9) , (6ed,877) , #2f07#2c26#1d67#1ae7#2b48#17e9#1adf#1adf#232c#
(a43,245b) , (15e9,2d47) , #1456#2a4#e70#7e5#10f6#16b0#1dc1#c0d#b72#1cfa#1c59#
